sending_region,receiving_region,milliseconds
southamerica-east1,asia-south1,322
australia-southeast1,asia-southeast2,106
europe-west9,us-west2,143
europe-west3,europe-southwest1,27
us-east5,us-south1,29
us-west3,northamerica-northeast2,42
us-west1,europe-west2,126
australia-southeast2,europe-west8,267
europe-west9,southamerica-west1,199
us-central1,europe-west3,109
europe-west9,us-west1,133
northamerica-northeast2,europe-west4,92
northamerica-northeast2,asia-south1,223
northamerica-northeast2,us-east1,32
us-east1,asia-southeast1,222
europe-west9,europe-north1,42
europe-north1,asia-northeast3,274
asia-southeast2,us-east1,235
us-south1,asia-southeast1,201
us-west1,us-central1,38
us-east1,us-south1,27
southamerica-west1,us-south1,117
asia-east1,us-central1,157
europe-west6,asia-south2,153
asia-east1,europe-west9,251
us-south1,europe-west8,125
asia-east1,europe-west6,235
us-west3,us-east1,52
asia-northeast1,us-east5,140
asia-southeast2,europe-west3,206
asia-northeast3,europe-southwest1,267
northamerica-northeast2,australia-southeast1,190
europe-north1,asia-southeast2,238
asia-south1,asia-east2,91
us-south1,northamerica-northeast1,39
us-west4,asia-east2,145
asia-south2,us-west3,244
southamerica-east1,asia-northeast3,283
northamerica-northeast1,us-west3,49
northamerica-northeast1,asia-northeast3,177
us-west1,asia-northeast1,91
europe-west1,us-west1,135
europe-southwest1,us-west2,160
asia-northeast2,europe-west9,232
northamerica-northeast2,southamerica-east1,134
southamerica-east1,us-east5,131
asia-southeast1,europe-southwest1,197
europe-west3,europe-west9,10
australia-southeast2,europe-central2,304
northamerica-northeast1,us-west2,73
asia-northeast3,southamerica-west1,231
europe-west3,asia-east1,255
us-east1,asia-northeast2,167
southamerica-east1,europe-west2,190
us-west3,europe-west2,114
europe-west2,europe-west9,7
asia-northeast3,europe-west8,266
europe-west1,us-south1,111
asia-southeast2,us-east4,226
us-central1,asia-northeast1,136
europe-central2,northamerica-northeast1,102
europe-west6,southamerica-east1,205
asia-southeast1,asia-southeast2,14
asia-southeast2,northamerica-northeast1,230
asia-northeast1,southamerica-west1,205
asia-northeast2,europe-west6,244
southamerica-west1,europe-west1,201
us-west3,us-east5,38
us-west1,europe-west8,149
us-west3,us-south1,25
northamerica-northeast2,us-east5,21
us-east1,asia-northeast1,160
australia-southeast2,us-east4,204
us-west1,us-east4,55
europe-west1,asia-east2,228
us-west2,us-west3,13
australia-southeast2,us-central1,187
europe-west8,us-east1,105
us-west2,us-east4,65
us-east4,asia-southeast2,226
europe-west4,asia-east1,252
europe-north1,northamerica-northeast2,122
europe-west4,asia-southeast1,199
asia-northeast1,us-central1,136
southamerica-west1,australia-southeast1,242
asia-south2,asia-northeast1,137
us-east1,southamerica-east1,116
europe-west3,us-west2,151
us-west1,asia-northeast3,117
us-east4,europe-north1,103
europe-west3,us-east5,91
asia-east2,northamerica-northeast2,184
asia-northeast1,europe-west2,216
northamerica-northeast2,europe-north1,122
southamerica-east1,us-east1,116
europe-west9,us-central1,101
southamerica-west1,southamerica-east1,52
asia-east2,southamerica-west1,244
us-east4,europe-west9,78
us-east5,us-west1,50
asia-south1,europe-west1,136
us-east4,australia-southeast1,192
asia-south1,us-east1,220
us-east4,us-central1,24
asia-northeast1,australia-southeast2,133
us-east5,europe-west2,81
australia-southeast2,europe-west2,274
southamerica-west1,northamerica-northeast1,134
europe-west9,us-west4,137
europe-north1,us-east1,113
europe-west4,australia-southeast1,270
asia-northeast3,asia-northeast1,32
us-east1,europe-west3,98
europe-west6,us-east4,92
southamerica-east1,asia-northeast1,256
asia-northeast1,asia-southeast1,69
europe-west3,asia-northeast2,239
us-east4,northamerica-northeast2,21
asia-east1,europe-north1,275
southamerica-east1,northamerica-northeast2,134
southamerica-west1,asia-northeast1,205
asia-east1,us-west3,139
europe-southwest1,europe-north1,52
us-east5,europe-west1,85
asia-southeast2,us-east5,226
europe-west3,us-south1,118
us-central1,asia-south1,251
europe-north1,australia-southeast1,293
europe-central2,asia-northeast2,254
europe-west1,asia-northeast3,249
australia-southeast1,europe-west3,278
asia-east2,asia-east1,13
europe-west8,europe-west3,10
southamerica-west1,europe-west8,215
europe-west1,europe-west6,13
asia-east2,europe-west8,217
australia-southeast2,southamerica-west1,254
northamerica-northeast2,europe-west6,101
asia-northeast1,asia-south1,132
asia-east2,australia-southeast2,120
europe-west4,us-central1,102
asia-east2,southamerica-east1,297
europe-west2,us-west1,126
asia-northeast2,southamerica-west1,212
europe-southwest1,us-central1,118
europe-west4,northamerica-northeast2,92
europe-west1,asia-southeast1,196
us-east5,asia-south2,243
europe-southwest1,europe-west8,21
us-central1,us-west2,46
europe-west1,us-west3,121
europe-west9,asia-northeast2,232
us-east4,us-west3,44
australia-southeast2,asia-east1,130
asia-east1,australia-southeast1,137
asia-east2,asia-southeast1,36
asia-east1,asia-southeast1,45
europe-west2,europe-north1,39
europe-west2,asia-northeast3,243
us-west4,northamerica-northeast2,61
europe-southwest1,northamerica-northeast1,101
asia-northeast3,southamerica-east1,283
asia-northeast1,asia-northeast2,9
asia-northeast3,us-east5,166
us-west2,us-east1,61
us-east1,southamerica-west1,99
asia-east2,northamerica-northeast1,191
asia-northeast3,asia-east1,37
asia-northeast3,asia-southeast2,85
asia-southeast2,europe-west6,205
us-west2,us-west1,24
us-east5,northamerica-northeast1,20
europe-west8,asia-southeast1,184
asia-south2,asia-east2,106
asia-northeast2,us-west1,99
us-west3,europe-north1,145
us-east1,us-west3,52
us-east4,southamerica-west1,122
us-east4,europe-west8,94
europe-central2,us-west4,160
asia-east1,europe-west8,228
southamerica-west1,europe-west4,208
europe-north1,asia-east1,275
europe-west8,asia-northeast1,240
southamerica-east1,asia-east2,297
australia-southeast1,europe-southwest1,287
northamerica-northeast2,asia-northeast2,152
europe-west2,northamerica-northeast2,84
us-west1,europe-west3,141
us-east5,us-central1,18
southamerica-west1,asia-east2,244
southamerica-west1,europe-central2,222
australia-southeast2,asia-northeast1,133
europe-north1,europe-central2,19
asia-northeast1,us-east1,160
europe-north1,us-west1,157
europe-west1,europe-west8,16
australia-southeast1,asia-northeast2,128
asia-south2,asia-northeast2,145
asia-east1,asia-northeast1,34
asia-south2,asia-southeast2,81
australia-southeast1,australia-southeast2,14
asia-south2,asia-east1,115
europe-west9,europe-west2,7
asia-northeast1,europe-west9,224
europe-west6,us-west3,134
asia-southeast1,europe-west3,193
europe-west2,europe-west3,13
us-west4,europe-north1,161
asia-northeast3,europe-central2,272
asia-southeast2,northamerica-northeast2,224
us-west4,asia-east1,133
asia-northeast1,europe-southwest1,240
asia-east2,us-west4,145
asia-northeast1,asia-south2,137
us-central1,europe-west8,117
asia-south2,europe-west8,145
europe-west3,europe-west1,8
southamerica-west1,us-east5,138
southamerica-east1,asia-northeast2,263
us-west2,europe-west2,139
southamerica-east1,europe-west6,205
europe-north1,us-west2,167
asia-northeast2,us-east4,154
asia-east2,europe-west6,223
europe-west8,us-central1,117
asia-northeast3,us-west3,139
asia-southeast2,asia-northeast2,91
us-south1,asia-east1,160
europe-southwest1,asia-northeast3,266
us-west2,us-east5,63
asia-south1,southamerica-east1,322
northamerica-northeast1,europe-central2,102
asia-southeast1,asia-northeast2,79
us-central1,asia-southeast2,212
us-west3,asia-east1,139
europe-west9,us-east4,78
europe-southwest1,asia-south1,136
southamerica-west1,europe-west3,207
europe-north1,europe-west8,42
asia-southeast2,europe-west9,205
us-west2,europe-west3,151
us-west3,asia-south2,244
asia-south2,us-east1,241
europe-west6,asia-east1,236
europe-central2,asia-southeast2,222
asia-east2,asia-northeast3,37
asia-northeast3,australia-southeast2,159
asia-southeast1,us-west1,159
europe-west6,europe-west4,13
europe-west1,europe-west2,6
asia-southeast2,us-west1,170
europe-west4,europe-southwest1,28
europe-west9,us-east1,89
northamerica-northeast2,asia-southeast1,210
us-central1,us-east1,31
us-west1,northamerica-northeast2,54
asia-northeast1,us-west3,113
us-west1,asia-south1,216
asia-east2,us-west2,139
asia-northeast1,asia-northeast3,32
europe-west2,australia-southeast1,262
asia-northeast1,europe-north1,247
asia-northeast2,australia-southeast2,140
asia-southeast2,asia-southeast1,14
us-south1,northamerica-northeast2,33
us-east5,asia-south1,223
us-east4,us-south1,32
northamerica-northeast1,asia-east2,191
europe-west2,asia-east1,244
us-west4,asia-northeast2,113
northamerica-northeast2,us-central1,22
asia-south1,europe-central2,149
europe-west8,australia-southeast1,286
asia-east1,europe-southwest1,241
europe-west8,australia-southeast2,268
us-east4,asia-east2,186
europe-west2,northamerica-northeast1,77
asia-east2,europe-west9,225
northamerica-northeast1,us-south1,39
europe-west9,us-east5,86
europe-central2,southamerica-west1,222
europe-west1,australia-southeast2,283
asia-northeast2,australia-southeast1,128
europe-west2,europe-west6,18
europe-west1,asia-northeast2,232
us-west2,northamerica-northeast1,73
asia-south2,europe-west3,155
asia-east1,us-east1,186
us-west3,us-west1,31
asia-southeast1,asia-northeast3,71
europe-west6,us-east1,103
us-south1,europe-west2,105
us-south1,asia-south2,271
northamerica-northeast2,southamerica-west1,142
us-west4,us-south1,28
asia-east1,us-west4,133
europe-west6,europe-southwest1,25
us-west3,australia-southeast1,150
europe-southwest1,us-east1,106
europe-central2,us-east1,112
asia-east1,us-east5,168
us-south1,europe-west3,118
europe-west4,us-west4,141
us-west2,australia-southeast2,149
us-west3,asia-southeast1,175
asia-northeast1,australia-southeast1,121
europe-west4,europe-west6,13
asia-northeast2,northamerica-northeast1,159
northamerica-northeast2,asia-east1,172
europe-west8,us-west3,137
europe-west4,asia-south1,139
europe-north1,northamerica-northeast1,115
asia-south2,us-west4,237
europe-west3,europe-west6,7
asia-northeast2,europe-west8,248
asia-northeast2,asia-south1,135
us-west3,europe-west6,133
northamerica-northeast2,asia-east2,184
us-east5,southamerica-east1,131
europe-west3,europe-west4,7
europe-central2,asia-south1,149
europe-west1,us-east5,85
us-west3,us-central1,21
us-west3,southamerica-west1,118
asia-northeast1,europe-west1,223
southamerica-east1,us-west1,169
europe-west1,europe-west4,7
europe-west4,europe-central2,21
us-east5,europe-north1,118
